,Name,Address,Zip,Latest_Report_Date,Total_all_time_reports,Total_all_time_sick_persons,Latitude,Longitude
0,Domino's Pizza,"[' 143 West Division Street', ' Chicago', ' 60610 Illinois', ' United States ']",60610, Oct 15 2019 at 10:11 PM,1,1,41.9037635,-87.63317540000003
1,Harmony Restaurant,"[' 6525 West Archer Avenue', ' Chicago', ' 60638 Illinois', ' United States ']",60638, Oct 22 2019 at 7:04 PM,2,0,41.7920435,-87.78526399999998
2,SWISS AIR,"[' 11601 West Touhy Avenue', ' Chicago', ' IL', ' USA ']",60631, Nov 22 2019 at 1:02 AM,1,0,42.0113823,-87.81998920000001
3,Del Seoul,"[' 2568 North Clark Street', ' Chicago', ' 60614 Illinois', ' United States ']",60614, Oct 14 2019 at 9:26 AM,1,2,41.92944199999999,-87.64301499999999
4,Poke Poké,"[' 802 West Belmont Avenue', ' Chicago', ' 60657 Illinois', ' United States ']",60657, Oct 8 2019 at 1:46 PM,2,1,41.94008649999999,-87.64953559999998
5,Subway,"[' 2412 North Lincoln Avenue', ' Chicago', ' 60614 Illinois', ' United States ']",60614, Nov 9 2019 at 4:05 PM,1,1,41.92574370000001,-87.649516
6,Fat Willy's Rib Shack,"[' 2416 West Schubert Avenue', ' Chicago', ' 60647 Illinois', ' United States ']",60647, Nov 20 2019 at 1:14 AM,1,0,41.93043299999999,-87.68858510000001
7,Mekato's Colombian Bakery,"[' 5423 North Lincoln Avenue', ' Chicago', ' 60625 Illinois', ' United States ']",60625, Oct 22 2019 at 1:57 AM,1,0,41.98024239999999,-87.69248479999999
8,Lao Sze Chuan,"[' 4832 North Broadway', ' Chicago', ' 60640 Illinois', ' United States ']",60640, Oct 14 2019 at 1:31 AM,3,0,41.97001769999999,-87.6599291
9,Martha's Food Market Co,"[' 4459 West Diversey Avenue', ' Chicago', ' 60639 Illinois', ' United States ']",60639, Oct 13 2019 at 7:31 PM,1,0,41.93153,-87.73910430000001
10,Taqueria Los Comales,"[' 6035 South Pulaski Road', ' Chicago', ' 60629 Illinois', ' United States ']",60629, Nov 21 2019 at 6:30 AM,1,0,41.7830787,-87.72262870000003
11,BAR ESQUINA,"[' 2715 North Milwaukee Avenue', ' Chicago', ' IL', ' USA ']",60647, Nov 20 2019 at 1:11 AM,1,0,41.9305961,-87.70966520000002
12,Lazo's Tacos,"[' 2009 North Western Avenue', ' Chicago', ' 60647 Illinois', ' United States ']",60647, Oct 24 2019 at 1:51 AM,1,0,41.9178065,-87.68721349999998
13,Dairy Queen,"[' 5636 West Irving Park Road', ' Chicago', ' 60634 Illinois', ' United States ']",60634, Oct 24 2019 at 7:50 AM,1,0,41.9534812,-87.76841609999997
14,Tortas Frontera,"[' 10000 Bessie Coleman Drive', ' Chicago', ' 60666 Illinois', ' United States ']",60666, Oct 22 2019 at 1:58 AM,1,0,41.9741543,-87.89027599999997
15,Nick Jr's Grill,"[' 6856 West North Avenue', ' Chicago', ' IL', ' USA ']",60707, Sep 30 2019 at 10:04 AM,1,0,41.90928499999999,-87.79702199999997
16,Subway,"[' 29 West Lake Street', ' Chicago', ' IL', ' USA ']",60601, Sep 30 2019 at 10:05 AM,1,0,41.8855837,-87.62897229999999
17,Aloha Eats,"[' 2534 North Clark Street', ' Chicago', ' 60614 Illinois', ' United States ']",60614, Oct 14 2019 at 7:34 AM,1,0,41.9287067,-87.642563
18,Chengdu Impression Restaurant,"[' 2545 North Halsted Street', ' Chicago', ' 60614 Illinois', ' United States ']",60614, Oct 30 2019 at 10:30 PM,1,0,41.9286117,-87.64872589999999
19,Subway,"[' West Peterson Avenue', ' Chicago', ' IL', ' USA ']",60646, Oct 11 2019 at 1:48 PM,2,2,41.989825,-87.73396889999998
20,Wingstop,"[' 830 North Milwaukee Avenue', ' Chicago', ' 60642 Illinois', ' United States ']",60642, Nov 17 2019 at 6:23 PM,1,1,41.8967894,-87.65676280000002
21,sweetgreen,"[' West Randolph Street', ' Chicago', ' IL', ' USA   Claimed  ']",60607, Oct 7 2019 at 10:00 PM,2,2,41.8845513,-87.65249110000002
22,Dante's Pizzeria,"[' 3028 West Armitage Avenue', ' Chicago', ' 60647 Illinois', ' United States ']",60647, Oct 28 2019 at 4:35 PM,1,0,41.9175992,-87.70365249999998
23,Argo Tea,"[' Arrivals - Terminal 2', ' Chicago', ' 60666 Illinois', ' United States ']",60666, Oct 22 2019 at 2:09 AM,1,0,41.9765095,-87.90501340000003
24,Manjares Restaurant,"[' South Ashland Avenue', ' Chicago', ' IL', ' USA ']",60608, Sep 30 2019 at 10:06 AM,1,0,41.8513111,-87.6663969
